"Date","AAPL","MSFT","JPM","JNJ","XOM","UPS","HD","PG","BAC","NVDA","AVGO","CAKE","WMT","DIS","NFLX","AMZN","GS","PFE","CVX","TSLA"
"2023-09-05",187.502532958984,327.237274169922,137.237487792969,149.129745483398,104.244041442871,142.680923461914,310.078765869141,142.984573364258,27.0903625488281,48.5127029418945,84.4369201660156,28.7732849121094,52.0965576171875,79.3220138549805,44.8680000305176,137.270004272461,305.639617919922,30.1731472015381,149.470489501953,256.489990234375
"2023-09-06",180.791198730469,326.579986572266,137.010665893555,146.65168762207,105.143882751465,141.236450195312,308.394897460938,142.703155517578,26.844518661499,47.0306701660156,84.4466171264648,28.6599292755127,52.486629486084,79.1168518066406,44.576000213623,135.360000610352,303.166229248047,29.3117904663086,149.623138427734,251.919998168945
"2023-09-07",175.503158569336,323.666168212891,135.838668823242,148.526458740234,104.629684448242,141.175521850586,310.684173583984,144.063217163086,26.5986728668213,46.2111892700195,82.9711761474609,29.0094394683838,53.1367416381836,78.7162780761719,44.3139991760254,137.850006103516,303.949768066406,29.2350330352783,149.632080078125,251.490005493164
"2023-09-08",176.115966796875,327.943603515625,135.942642211914,149.01838684082,106.153900146484,140.131317138672,310.958465576172,143.444152832031,26.8161525726318,45.5426216125488,83.0215148925781,28.6315879821777,53.234260559082,79.7030487060547,44.2799987792969,138.229995727539,307.310638427734,29.2094535827637,150.143936157227,248.5
"2023-09-11",177.282318115234,331.544158935547,136.538101196289,150.967422485352,104.822509765625,140.000793457031,310.636871337891,145.151260375977,26.9296169281006,45.1488761901855,83.1754760742188,28.2726306915283,53.4195365905762,80.6214141845703,44.5359992980957,143.100006103516,306.489288330078,28.9450721740723,147.046035766602,273.579986572266
"2023-09-12",174.257781982422,325.490936279297,138.314971923828,151.821319580078,107.88013458252,136.241683959961,308.659759521484,142.600006103516,27.3929443359375,44.8410758972168,81.7600631713867,28.5371246337891,53.4780464172363,81.7547225952148,43.4690017700195,141.229995727539,312.3896484375,29.1241683959961,149.784744262695,267.480010986328
"2023-09-13",172.192001342773,329.699798583984,138.381149291992,152.20182800293,106.916023254395,137.346786499023,308.281372070312,143.594223022461,27.3078422546387,45.455680847168,82.5742568969727,28.2537384033203,53.4910430908203,81.559326171875,41.2239990234375,144.850006103516,316.241485595703,29.0644664764404,149.237014770508,271.299987792969
"2023-09-14",173.704254150391,332.289794921875,141.0654296875,151.969802856445,108.825889587402,139.861557006836,311.828796386719,145.170013427734,27.610424041748,45.5516204833984,84.385612487793,28.612699508667,53.7153434753418,82.5363159179688,40.048999786377,144.720001220703,325.294921875,29.1241683959961,150.161880493164,276.040008544922
"2023-09-15",172.982696533203,323.970275878906,140.649536132812,149.84440612793,107.154739379883,139.652740478516,304.043273925781,143.950653076172,27.2700214385986,43.871696472168,82.4532318115234,28.7921752929688,53.5170555114746,83.6110153198242,39.6940002441406,140.389999389648,323.378479003906,29.0559349060059,149.506408691406,274.390014648438
"2023-09-18",175.908401489258,322.832244873047,140.942520141602,150.791076660156,108.017875671387,137.868881225586,300.126861572266,144.494689941406,27.1943778991699,43.9376525878906,82.2905960083008,27.7908744812012,53.1204872131348,83.0638885498047,39.439998626709,139.979995727539,324.114898681641,28.6892280578613,150.152923583984,265.279998779297
"2023-09-19",176.995681762695,322.430053710938,140.762954711914,150.540512084961,107.73323059082,137.494750976562,297.619964599609,144.072601318359,27.0903625488281,43.4919395446777,82.2131500244141,27.9514579772949,53.1074905395508,80.0547561645508,39.6199989318848,137.630004882812,322.764892578125,28.9877147674561,150.134948730469,266.5
"2023-09-20",173.457153320312,314.699157714844,140.167495727539,151.199462890625,106.879295349121,137.172775268555,294.072448730469,143.950653076172,26.9958076477051,42.2117691040039,80.8474731445312,27.9797973632812,53.2797622680664,80.6604995727539,38.6300010681152,135.289993286133,317.865173339844,28.6721649169922,149.677032470703,262.589996337891
"2023-09-21",171.91520690918,313.482604980469,139.071105957031,150.039321899414,105.373435974121,135.249710083008,290.193878173828,142.703155517578,26.5230236053467,40.9905548095703,78.6855621337891,27.5452709197998,52.6329040527344,80.8265838623047,38.4150009155273,129.330001831055,311.766571044922,28.0154857635498,148.330093383789,255.699996948242
"2023-09-22",172.765243530273,311.010345458984,137.738433837891,148.962692260742,105.538711547852,133.813903808594,289.219543457031,142.177886962891,26.1353454589844,41.5831756591797,80.7024307250977,27.3469009399414,52.7726783752441,79.3806381225586,37.9809989929199,129.119995117188,309.548034667969,27.8790340423584,149.308837890625,244.880004882812
"2023-09-25",174.040298461914,311.5302734375,138.418960571289,148.739974975586,106.723205566406,134.275131225586,289.938446044922,141.314971923828,26.0975246429443,42.1947784423828,81.1706237792969,27.3280067443848,53.0067253112793,79.1461563110352,38.4799995422363,131.270004272461,310.444885253906,28.1263523101807,151.490844726562,246.990005493164
"2023-09-26",169.968063354492,306.232482910156,136.982315063477,147.589111328125,106.888473510742,132.178009033203,286.201782226562,140.058074951172,25.6909294128418,41.8839797973633,79.4477233886719,27.3280067443848,52.8214378356934,78.2082443237305,37.9249992370605,125.980003356934,305.705657958984,27.6317138671875,150.673706054688,244.119995117188
"2023-09-27",168.455764770508,306.870208740234,137.785705566406,145.816375732422,110.36848449707,132.621810913086,285.520629882812,138.200897216797,25.7854900360107,42.4406204223633,79.5080718994141,27.5169334411621,52.5678939819336,78.0616912841797,37.7589988708496,125.980003356934,303.940338134766,27.3758640289307,153.583023071289,240.5
"2023-09-28",168.712753295898,307.7041015625,139.496444702148,145.602935791016,109.698196411133,135.310623168945,287.100463867188,137.262924194336,26.059700012207,43.0612182617188,80.9866561889648,28.5560169219971,52.8344421386719,78.2863998413086,37.6360015869141,125.980003356934,307.008575439453,27.3673362731934,153.178955078125,246.380004882812
"2023-09-29",169.226745605469,309.774139404297,137.067398071289,144.554153442383,107.962783813477,135.632568359375,285.842315673828,136.812683105469,25.889497756958,43.4709625244141,80.8484344482422,28.6221389770508,51.9860458374023,79.1852416992188,37.7599983215332,127.120002746582,305.469665527344,28.288387298584,151.410018920898,250.220001220703
"2023-10-02",171.737319946289,315.709655761719,135.885940551758,143.997283935547,106.17227935791,134.94514465332,283.638122558594,136.184265136719,25.2465171813965,44.7531318664551,81.2738189697266,27.9609069824219,52.0413055419922,79.7909622192383,38.0330009460449,129.460006713867,300.683319091797,28.9450721740723,149.54231262207,251.600006103516
"2023-10-03",170.402938842773,307.458862304688,134.884048461914,144.173614501953,106.355911254883,133.787841796875,276.174255371094,136.465667724609,24.4995212554932,43.4889373779297,79.3153381347656,27.0068340301514,51.7129974365234,77.7099761962891,37.6749992370605,124.720001220703,288.995880126953,28.910961151123,149.892517089844,246.529998779297
"2023-10-04",171.648345947266,312.923400878906,135.488952636719,144.340698242188,102.380081176758,133.76171875,276.599914550781,136.915893554688,24.527889251709,44.0126113891602,80.189453125,28.0648136138916,52.3338623046875,77.4950332641602,37.689998626709,127,291.337158203125,28.4077911376953,146.399551391602,261.160003662109
"2023-10-05",172.883880615234,313.315826416016,136.060211181641,145.84423828125,100.075386047363,133.465835571289,275.947204589844,134.880462646484,24.6413555145264,44.6591911315918,80.1943206787109,28.0553703308105,51.7097511291504,78.9507522583008,37.2589988708496,125.959999084473,293.130798339844,28.544246673584,147.171752929688,260.049987792969
"2023-10-06",175.434005737305,321.066345214844,138.15495300293,146.308288574219,98.4042434692383,134.240310668945,277.006713867188,135.152481079102,24.6508121490479,45.7325057983398,82.2773971557617,27.6113929748535,50.8418502807617,81.0317535400391,38.1510009765625,127.959999084473,295.000061035156,28.254280090332,145.672210693359,260.529998779297
"2023-10-09",176.916610717773,323.577850341797,137.840759277344,147.143585205078,101.847518920898,134.301193237305,279.409515380859,134.4677734375,24.8777484893799,45.2438163757324,83.3111343383789,27.9420127868652,50.656566619873,82.7512512207031,38.5950012207031,128.259994506836,295.122772216797,28.3139743804932,149.703964233398,259.670013427734
"2023-10-10",176.323547363281,322.175018310547,138.678619384766,146.976516723633,101.415954589844,135.354141235352,283.061065673828,135.799667358398,25.5396423339844,45.7684745788574,83.5574188232422,28.7354965209961,51.2286682128906,83.0345840454102,37.3320007324219,129.479995727539,297.161956787109,28.288387298584,149.54231262207,263.619995117188
"2023-10-11",177.717239379883,326.128692626953,139.154678344727,144.953247070312,97.7798538208008,135.136596679688,281.954254150391,134.130096435547,25.5490970611572,46.775821685791,85.1294326782227,28.6977100372314,51.4334487915039,82.8978042602539,36.5929985046387,131.830001831055,295.509826660156,28.2372245788574,144.657531738281,262.989990234375
